,ParentsScore,ParentSpeak,ParentUnderstand,ParentRead,ParentWrite,Highest_academic_years,curJobScore,non_English_understandability,English_speakability,English_understandability,English_readability,English_writability,most spoken language,race,race identity importance,felt_discrimination,visits to parents country,lived in parents country,home country,caseid,Language_understandability
72, ,4,4,4,4,15, ,4,4,4,4,4,3,5,3,0,4,1,4,73,4.0
73,52,4,4,4,4,16,66,4,4,4,4,4,1,51,3,1,0, ,1,74,4.0
74, ,4,4,4,4,14,49,4,4,4,4,4,1,12,3,1,0,0,1,75,4.0
75, , , , , ,14,67,4,4,4,4,4,1,15,2,1,4,0,1,76,4.0
77,53,2,2,2,2,16,57,4,4,4,4,4,1,5,2,0,0,0,1,78,4.0
78,34,1,1,1,1,14,31,4,4,4,4,4,3,9,3,1,2,0,2,79,4.0
79, ,2,2,2,2,12,39,4,4,4,4,4, ,46,3,0,0,0,1,80,4.0
80,17,2,2,2,2,12,38,4,4,4,4,4,3,30,2,0,0,0,1,81,4.0
81, ,2,2,2,2,12,53,4,4,4,4,4,1,30,3,0,0,0,1,82,4.0
82, , , , , ,15,38,1,4,4,4,4,1,55,3,0,2,1,4,83,2.5
83, , , , , ,14,32,4,4,4,4,4,3,12,3,1,0,0,1,84,4.0
84, , , , , ,16,55,4,4,4,4, ,3,5,2,0,12,0,1,85,4.0
85, ,2,3,2,1,12,34,4,4,4,4,4,1,12,1,0,0,0,1,86,4.0
87, , , , , ,14,55,4,4,4,4,4,1,12,3,0,0,0,1,88,4.0
88, , , , , ,14,38,4,4,4,4,3,1,23,2,0,0,0,1,89,4.0
89, , , , , ,18, ,3,4,4,4,4,1,38,3,1,3,0,1,90,3.5
90, , , , , ,14,62,4,3,4,3,3,2,18,2,1,13,0,1,91,4.0
91, , , , , ,14,60,4,4,4,4,4,1,22,2,1,0,0,1,92,4.0
92, , , , , ,14,20,4,4,4,4,4,1,5,3,0,30,1,1,93,4.0
93, , , , , ,15,42,4,4,4,4,4,1,0,1,0,10,0,1,94,4.0
94, ,1,1,1,1,14,30,4,3,3,3,3,1,30,3,0,0,0,1,95,3.5
95,17,2,3,2,2,14,42,3,4,4,4,4,2,30,3,1,3,1,1,96,3.5
96, , , , , ,16,39,4,4,4,4,4,1,4,2,1,2,0,1,97,4.0
97,47,3,3,3,3,14,34,4,4,4,4,4,3,51,3,1,0,0,1,98,4.0
100,39,4,4,4,4,14,42,4,4,4,4,4,1,23,3,1,0,0,4,101,4.0
101, , , , , ,12,54,4,4,4,4,4,3,12,2,1,0,0,1,102,4.0
102, ,3,3,2,2,14, ,2,4,4,4,4,3,52,2,1,0, ,1,103,3.0
103, , , , , ,14,44,4,4,4,4, ,1,52,2,1,3,0,1,104,4.0
104, , , , , ,15,38,3,1,1,1,1,1,3,2,1,2,0,1,105,2.0
105,36,2,2,1,1,15,50,4,4,4,4,4,1,52,2,1,0, ,1,106,4.0
106,60,4,4,4,4,16,67,4,4,4,4,4,1,54,3,1,20,0,1,107,4.0
107, ,2,2,1,1,14,54,4,3,3,3,3,3,31,3,0,0,0,1,108,3.5
109, , , , , ,14,20,3,4,4,3,3,1,12,2,0,0, ,1,110,3.5
110,60,3,4,4,3,16, ,4,4,4,4,3,1,12,3,0,0,0,1,111,4.0
111,23,2,2,2,2,14,43,3,4,4,3,4,3,25,3,1,0,0,1,112,3.5
113, , , , , ,14, ,4,4,4,4,4,3,68,3,1,3,0,2,114,4.0
114,66,4,4,4,4,16, ,3,4,4,4,4,1,12,3,1,3,0,1,115,3.5
115, ,3,3,3,3,14, ,4,4,4,4,4,3,7,3,0,4,1,4,116,4.0
116, , , , , ,16,78,3,3,3,3, ,1,5,3,0,0, ,1,117,3.0
117, , , , , ,15,55,3,4,4,4,4,3,11,3,0,1,0,1,118,3.5
121, , , , , ,14, ,4,4,4,4,4,3,6,3,1,4,0,1,122,4.0
122, , , , , ,14,32,3,4,4,4,4,3,14,3,1,0,0,1,123,3.5
123, ,4,4,4,4,14,29,3,4,4,4,4,1, ,2,1,4,0,1,124,3.5
124,60,4,4,4,4,16,66,4,4,4,4,4,1,5,3,1,1,0,1,125,4.0
129, , , , , ,16, ,3,4,4,4,4,1,45,1,1,0,0,1,130,3.5
131, ,2,2,1,2,16,52,3,4,4,4,4,1,69,1,1,0,0,1,132,3.5
133, , , , , ,14,49,4,4,4,4, ,3,11,3,0,0, ,1,134,4.0
134, , , , , ,14,64,3,4,4,4,4,3,70,3,0,0,0,1,135,3.5
135, , , , , ,14,45,4,4,4,4, ,1,49,3,0, , ,1,136,4.0
136, , , , , ,14, ,4,4,4,4,4,3,11,3,0,0, ,1,137,4.0
137, , , , , ,12,51,4,4,4,4,4,1,66,2,1,2,0,1,138,4.0
138,34,4,4,4,4,15,32,4,4,4,4, ,1,0,2,0,4,0,1,139,4.0
140,39,3,3,3,3,15,34,4,4,4,4, ,1,52,2,1,1,0,1,141,4.0
141,52,3,4,4,3,15, ,4,4,4,4, ,1,66,3,0,1,0,1,142,4.0
142,17,2,2,2,1,14,50,4,4,4,4,4,3,9,3,1,1,0,1,143,4.0
143, , , , , ,12, ,4,4,4,4,4,3,10,2,1,0,0,4,144,4.0
144, , , , , ,16,57,4,4,4,4,4,3,11,3,1,1,0,1,145,4.0
146, , , , , ,14,51,3,4,4,4,3,1,5,3,1,1,0,1,147,3.5
147,42,3,3,3,3,15, ,4, ,4,4,4,3,5,2,1,5,0,1,148,4.0
148, , , , , ,15,30,4,4,4,4,4,1,52,2,0,1,0,1,149,4.0
150, , , , , ,16,55,4,4,4,4,4,1,70,3,1,13,1,1,151,4.0
151, ,4,4,4,4,16, ,4,4,4,4,4,3,5,3,1,12,0,4,152,4.0
153,49,3,3,4,4,12,53,4,4,4, ,4,1,66,2,1,0,0,1,154,4.0
155, , , , , ,14, ,4,4,4,4,4,1,5,3,1,0,0,1,156,4.0
156,21,2,3,4,4,14,53,4,4,4,4, ,3,13,2,0,0, ,1,157,4.0
157, , , , , ,14,55,4,4,4,4,4,1,12,2,0,0, ,1,158,4.0
158,38,3,3,3,3,16, ,4,3,3,3,3, ,27,2,1,1,0,3,159,3.5
160, ,3,3,3,2,10,55,4,4,4,4, ,1,19,3,0,4,1,4,161,4.0
163,64,4,4,3,3,10,34,4,4,4,4,4,3,12,3,0,0, ,1,164,4.0
164, , , , , ,18,23,3,4,4,4,4,1,66,3,0,20,0,1,165,3.5
167, , , , , ,15,60,4,4,4,4,3,3,11,3,1,0, ,1,168,4.0
168, ,2,2,2,2,16,60,4,4,4,4,4,1,46,3,1,1,0,1,169,4.0
169, , , , , ,12, ,4,4,4,4,4,3,17,2,1,5,0,4,170,4.0
170, , , , , ,14,53,4,4,4,4,4,1,12,3,0,0, ,1,171,4.0
171, ,1,2,2,1,12,34,4,4,4,4,4,3,11,2,0,0, ,1,172,4.0
172, ,2,2,2,2,14,53,3,4,4,4,4,1,10,2,1,3,0,1,173,3.5
173,62,2,3,3,3,15,67,4,4,4,4,4,3,5,2,1,2,0,1,174,4.0
174, , , , , ,12,42,4,4,4,4,4,1,12,2,1,0, ,1,175,4.0
175,33,2,2,2,2,12,38,4,4,4,4,4,3,5,1,1,5,0,2,176,4.0
176, , , , , ,16,51,4,4,4,4,4,3,5,1,0,0, ,1,177,4.0
177, , , , , ,12,53,4,4,4,4,4,3,12,2,1,1,0,1,178,4.0
178, , , , , ,18,49,3,4,4,4,4,1,0,2,0,0,0,1,179,3.5
179, , , , , ,12,53,4,4,4,4, ,2,15,1,1,6,0,1,180,4.0
180,17,2,2,2,2,15,52,4,4,4,4,4,3,11,3,0,0, ,1,181,4.0
181, ,1,2,3,3,12,34,4,4,4,4,4,3,10,3,1,0,0,4,182,4.0
182,31,3,3,3,2,15,42,4,4,4,4,4,2,9,3,0,5,0,1,183,4.0
183, ,4,4,4,4,15, ,4,4,4,4,4,3,5,2,1,0,0,1,184,4.0
184, , , , , ,14,42,4,4,4,4,4,1,5,1,0,0, ,1,185,4.0
185, , , , , ,12,34,4,4,4,4, ,3,11,2,0,0, ,1,186,4.0
186, , , , , ,16,51,3,4,4,4, ,1,68,1,1,8,0,1,187,3.5
188, , , , , ,12,34,4,4,4,4,4,1,12,2,0,0, ,1,189,4.0
189, , , , , ,14,49,4,4,4,4, ,1,12,2,0,0, ,1,190,4.0
190, , , , , ,10,39,4,4,4,4, ,3,5,3,1,0, ,1,191,4.0
192,17,2,2,2,2,12,39,3,4,4,4,4,3,5,3,0,0,0,1,193,3.5
193, , , , , ,12,34,4,4,4,4, ,3,63,3,0,1,0,1,194,4.0
194,26,2,2,1,1,16,42,3,4,4,4, ,1,52,3,1, , ,1,195,3.5
195, , , , , ,12,47,4,4,4,4, ,1,5,1,0,0, ,1,196,4.0
196, ,3,3,3,3,12,52,4,4,4,4, ,1,5,1,0,0, ,1,197,4.0
198,31,4,4,4,4,14,39,3,4,4,4,4,1,3,3,1,0, ,1,199,3.5
199, , , , , ,12,53,4,4,4,4,4,1,23,3,1,2,0,1,200,4.0
200, , , , , ,14,56,4,3,4,4,4,3,23,2,1,1,0,1,201,4.0
202,52,4,4,4,4,12,42,4,4,4,4, ,3,11,3,1,0, ,1,203,4.0
203, , , , , ,12,29,4,4,4,4,3,1,5,2,0,6,0,4,204,4.0
204, ,3,3,3,3,14,23,4,4,4,4,3,3,72,1,1,6,0,4,205,4.0
205,39,4,4,4,3,16,42,3,4,4,4,4,3,25,3, ,0,0,4,206,3.5
206, ,1,1,1,1,12,31,4,3,3,3,3,3,31,3,0,0,0,1,207,3.5
207, , , , , ,18,60,1,1,1,1, ,1,39,3,0,8,0,1,208,1.0
208, , , , , ,16, ,3,4,4,4, ,1,39,3,1,4,0,1,209,3.5
209,53,4,4,4,4,18,66,4,4,4,4, ,1,39,3,0,5,0,1,210,4.0
211, ,4,4,4,4,16,67,4,4,4,4, ,1,38,3,1,8,0,1,212,4.0
212, , , , , ,12,34,4,4,4,4,4,1,0,3,1,2,0,1,213,4.0
213,60,4,4,4,4,16,54,4,4,4,4, ,1,47,3,1,6,0,4,214,4.0
214,48,4,4,4,4,16, ,3,4,4,4,4,3,38,1,0,2,1,4,215,3.5
216, ,3,3,3,3,10,42,4,4,4,4,3,1,72,2,0,20,1,1,217,4.0
217, , , , , ,10,23,4,4,4,3, ,1,71,1,0,0, ,1,218,4.0
218, , , , , ,15,50,4,4,4,4,4,3,70,3,0,0,0,1,219,4.0
219, , , , , ,14,39,4,4,4,4,4,3,5,3,0,1,0,4,220,4.0
220, , , , , ,16, ,3,3,3,3,3,1,23,3,1,1,0,3,221,3.0
221,38,2,2,1,1,15, ,4,4,4,4,4,3,5,3,0,1,0,4,222,4.0
222,55,4,4,4,4,16,32,3,4,4,4, ,1,57,3,0,3,0,1,223,3.5
