,ParentsScore,ParentSpeak,ParentUnderstand,ParentRead,ParentWrite,Highest_academic_years,curJobScore,non_English_understandability,English_speakability,English_understandability,English_readability,English_writability,most spoken language,race,race identity importance,felt_discrimination,visits to parents country,lived in parents country,home country,caseid,Language_understandability
356,22,2,2,2,2,14,53,4,4,4,4,4,1,16,1,0,0,0,1,357,4.0
357,30,2,3,3,2,14,34,4,4,4,4, ,1,12,3,0,0, ,1,358,4.0
358, , , , , ,12, ,4,3,3,3,3,1,15,3,0,0,0,1,359,3.5
359,60,4,4,4,4,18,60,1,4,4,4,4,1,54,3, ,3,0,4,360,2.5
360, , , , , ,14,49,3,4,4,4, ,1,5,3,0,0, ,1,361,3.5
361,23,3,3,3,3,14,53,4,4,4,4, ,1,11,3,0,0, ,1,362,4.0
362,50,4,4,4,4,16,53,3,4,4,4,4,1,57,2,1,6,0,4,363,3.5
363, , , , , ,16,51,4,4,4,4,4,1,12,2,0,0, ,1,364,4.0
364, , , , , ,14,34,4,4,4,4,4,3,5,2,1,1,0,1,365,4.0
366, , , , , ,14,20,4,4,4,4,4,1,5,3,1,0,0,1,367,4.0
367, , , , , ,18,48,4,4,4,4,4,1,12,2,0,0,0,1,368,4.0
368, , , , , ,12,49,4,4,4,4,4,1,5,1,0,0,0,1,369,4.0
369, , , , , ,10,38,4,4,4,4, ,2,60,2,1,0, ,1,370,4.0
370,38,4,4,4,4,14, ,4,4,4,4,4,3,12,3,0, ,0,1,371,4.0
371, ,4,4,4,3,15, ,4,4,4,4, ,3,6,3,1,12,1,1,372,4.0
372,30,2,3,3,2,15, ,4,4,4,4,4,3,20,3,1,1,0,1,373,4.0
373,38,1,2,2,2,12, ,4,3,3,3, ,3,6,2,1,1,0,1,374,3.5
374,43,4,4,4,4,12,38,4,4,4,4, ,1,3,3,1,0, ,1,375,4.0
375, , , , , ,14,34,4,4,4,4, ,1,53,3,1,1,0,1,376,4.0
376, ,2,2,1,1,14,42,4,4,4,4,4,3,27,3,1,0,0,1,377,4.0
377, ,2,2,2,2,14,49,3,4,4,4,4,3, ,3,1,0,0,4,378,3.5
378,17,3,3,3,3,10,32,3,3,3,3,3,3,31,3,0,4,0,1,379,3.0
379, ,2,2,2,2,12,20,3,3,3,3,3,1,30,3,0,0,0,1,380,3.0
380, ,2,2,1,1,12,39,4,4,4,4,4,3,31,3,0,0,0,4,381,4.0
381,54,4,4,4,4,15,53,2,4,4,4, ,1,4,1,1,0, ,1,382,3.0
382,36,1,2,1,1,15,53,3,3,4,3,3,1,52,3,1,0,0,1,383,3.5
383,26,3,3,2,2,16, ,3,4,4,4,4,1,52,3,1,0, ,1,384,3.5
384, ,2,2,2,2,14, ,3,4,4,4,4,1,51,3,1,0, ,1,385,3.5
385, , , , , ,15,38,4,4,4,4,4,3,52,2,1,6,0,4,386,4.0
386, , , , , ,10,45,4,4,4,4,4,3,3,2,1,0, ,1,387,4.0
387, , , , , ,10,31,4,4,4,4, ,3,52,3,0,1,0,1,388,4.0
388,58,4,4,4,4,14,30,4,4,4,4,4,1,51,3,0,3,0,1,389,4.0
389,34,3,4,4,4,16,60,4,4,4,4, ,1,52,3,0,1,0,1,390,4.0
390, ,2,2,1,1,14,39,4,4,4,4, ,3,51,3,1,3,0,1,391,4.0
399, , , , , ,10,62,1,4,4,4,4,1,54,3,0,20,0,4,400,2.5
414,53,2,2,2,2,16,53,4,4,4,4, ,1,12,2,1,0, ,1,415,4.0
416, , , , , ,12,38,4,4,4,4,4,3,5,2,0,10,0,1,417,4.0
420,31,4,4,4,4,16,42,3,4,4,4,4,1,23,2,0,1,0,1,421,3.5
421, , , , , ,16,78,4,4,4,4, ,1,5,2,1,0, ,1,422,4.0
422, , , , , ,14,39,3,4,4,4,4,1,23,3,0,0,0,1,423,3.5
425, , , , , ,14,55,4,4,4,4,3,1,12,2,0,0, ,1,426,4.0
426, , , , , ,14,34,4,4,4,4, ,1,6,3,0,4,0,1,427,4.0
427, , , , , ,18,53,4,4,4,4,4,1,5,1,0,0, ,1,428,4.0
428,29,2,3,2,2,14,42,4,4,4,4,4,1,5,1,1,2,0,1,429,4.0
429, , , , , ,14, ,3,4,4,4,4,1,23,2,1,2,0,1,430,3.5
430, ,4,4,4,4,14,22,3,4,4,4, ,1,5,1,0, , ,1,431,3.5
431, , , , , ,15,53,4,4,4,4,3,1,70,2,0,0,0,1,432,4.0
433, , , , , ,16,60,4,4,4,4, ,1,5,2,0,5,1,1,434,4.0
434, , , , , ,15,39,3,3,3,3,3,3,5,3,0,0, ,1,435,3.0
435, , , , , ,15,53,1,4,4,4,4,1,69,3,0,1,0,1,436,2.5
436, , , , , ,10,53,4,4,4,4, ,1,12,3,1,0, ,1,437,4.0
437,39,3,3,2,2,14,67,4,3,4,4, ,1,5,3,0,1,0,1,438,4.0
438, , , , , ,14,22,4,4,4,4, ,1,16,3,1,2,0,1,439,4.0
439, , , , , ,15, ,4,4,4,4,4,1,5,2,0,0, ,1,440,4.0
440,42,2,2,2,2,14, ,3,4,4,4, ,1,52,3,1,0, ,1,441,3.5
441, ,3,3,2,2,12,30,4,4,4,4, ,1,52,3,0,0, ,1,442,4.0
442, ,3,3,3,3,14,35,2,4,4,4,4,3,51,3,1,2,0,3,443,3.0
443,28,3,3,3,3,16,50,4,4,4,4, ,3,51,3,1,1,0,1,444,4.0
444, , , , , ,10,39,4,4,4,4,4,1,52,3,1,0,0,1,445,4.0
445, , , , , ,15, ,4,4,4,4,4,3,51,3,0,0, ,1,446,4.0
446, ,3,3,2,1,16,57,4,4,4,4,4,3,52,3,1,3,0,1,447,4.0
447,40,3,3,2,2,15,67,4,4,4,4,4,3,52,3,1,1,0,1,448,4.0
448, , , , , ,14,34,3,4,4,4,4,3,66,3,1,0, ,1,449,3.5
461, , , , , ,16,62,3,4,4,4,4,3,33,3,1,4,0,1,462,3.5
462, ,2,3,3,2,14,27,3,4,4,4,3,1,47,3,0,0,0,1,463,3.5
463,39,4,4,4,4,12,38,4,4,4,4,4,1,12,3,1,0,0,1,464,4.0
464, , , , , ,15, ,4,4,4,4, ,1,5,3,0,0, ,1,465,4.0
466, , , , , ,15,55,4,4,4,4,4,3,9,3,1,300,0,1,467,4.0
467,22,2,2,1,1,14,42,4,4,4,4,4,3,10,3,0,5,0,1,468,4.0
471, ,2,2,2,2,12,41,4,4,4,4,4,3,31,3,1,0,0,1,472,4.0
472,21,3,3,3,3,16,56,3,4,4,4,4,3, ,3,1,0,0,1,473,3.5
473, , , , , ,10,39,3,4,4,4,4,1,0,2,0,0, ,1,474,3.5
474,43,2,2,2,1,12,16,4,4,4,4,4,1,72,1,1,0,0,3,475,4.0
475, , , , , ,16,53,3,4,4,4,4,1,0,3,1,3,0,1,476,3.5
476, , , , , ,14,32,3,4,4,4,4,1,5,2,0,0,0,1,477,3.5
477,21,2,2,2,2,16, ,3,4,4,4,4,3,69,1,0,0,0,1,478,3.5
478, ,4,4,4,4,18,46,4,4,4,4,4,1,39,3,0,3,0,1,479,4.0
480,42,4,4,4,4,14,44,4,4,4,4, ,1,53,3,1,4,0,1,481,4.0
481,52,2,2,2,2,15,55,4,4,4,4, ,1,14,3,0,2,0,1,482,4.0
482, ,2,2,2,2,14,44,4,4,4,4,4, ,46,2,1,0,0,3,483,4.0
484, , , , , ,15,53,4,3,4,4,3,1,5,1,1,0, ,1,485,4.0
485, , , , , ,12,41,2,4,4,4,4,1,52,3,1, , ,1,486,3.0
486, , , , , ,16,41,4,4,4,4,4,3,6,3,1,10,0,1,487,4.0
487,39,4,4,4,4,18,78,4,3,4,4, ,3,5,3,1,3,0,2,488,4.0
488, , , , , ,16, ,4,4,4,4,4,1,12,2,0,0, ,1,489,4.0
489, , , , , ,14,55,4,4,4,4,4,3,11,3,0,0, ,1,490,4.0
490, ,2,2,1,1,14,50,4,4,4,4, ,1,52,3,0, , ,1,491,4.0
492,54, , , , ,15,55,2,4,4,4,4,1,54,3,1,7,0,4,493,3.0
493, ,2,2,2,2,12, ,3,3,3,3,3,1,26,1,1,0,0,1,494,3.0
494, , , , , ,14, ,3,4,4,4,4,1,66,2,1,0,0,1,495,3.5
495,60,4,4,4,4,12,50,4,3,3,3, ,3,12,1,1,0, ,1,496,3.5
496, , , , , ,16, ,4,4,4,4,4,3,11,3,0,0,0,1,497,4.0
497,54,4,4,4,4,15,69,3,3,3,3, ,1,5,2,0,0, ,1,498,3.0
498, , , , , ,14,50,3,4,4,4, ,1,12,3,0,0, ,1,499,3.5
499, , , , , ,14,31,4,4,4,4, ,1,12,1,0,0, ,1,500,4.0
500, ,1,1,1,1,16,23,3,3,3,3,3,1,5,2,0,2,0,1,501,3.0
501,36,3,3,3,3,15,51,4,4,4,4, ,3,5,3,0,2,0,1,502,4.0
502, , , , , ,12,49,4,4,4,4, ,1,0,2,0,0, ,1,503,4.0
503,60,4,4,4,4,16, ,4,4,4,4,4,1,12,3,1,0,0,1,504,4.0
506, ,1,2,1,1,12, ,4,3,3,3,3,3,12,3,0,1,0,1,507,3.5
507,21,2,3,3,2,14, ,4,4,4,4,3,3,9,3,1,2,0,1,508,4.0
508, , , , , ,12,50,4,4,4,4,4,2,5,3,1,0,0,2,509,4.0
509, ,3,3,3,3,16,62,4,4,4,4,4,1,17,3,0,1,0,1,510,4.0
510, , , , , ,14, ,4,4,4,4,4,1,55,3,1,2,0,1,511,4.0
512, ,2,2,2,2,14,37,4,4,4,4,3,1,5,3,1,4,0,1,513,4.0
513, , , , , ,12, ,4,4,4,4, ,1,12,2,1,1,0,1,514,4.0
514, ,4,4,4,4,12,34,3,4,4,4, ,1,4,2,1,4,0,1,515,3.5
515, , , , , ,14,34,1,4,4,4,4,1,52,3,1,2,0,1,516,2.5
519, ,4,4,4,4,14, ,3,3,3,3,3,3,23,3,0,0,0,1,520,3.0
520, ,2,2,1,1,14, ,3,4,4,4,4,1,46,2,1,0,0,1,521,3.5
521, , , , , ,15,42,4,4,4,4,4,1,23,2,1,2,0,1,522,4.0
522,22,3,3,2,3,12,46,3,4,4,4,4,1,23,3,0,0,0,1,523,3.5
523, ,3,3,3,3,18, ,4,4,4,4, ,1,7,3,1,5,0,1,524,4.0
524, , , , , ,18, ,4,4,4,4, ,1,55,3,1,0, ,1,525,4.0
525, ,3,3,3,3,16,42,3,4,4,4,4,1,5,1,1,1,0,1,526,3.5
526, , , , , ,15,53,4,4,4,4, ,3,5,2,0,1,0,1,527,4.0
527,29,2,2,2,2,16, ,4,4,4,4, ,1,5,3,0,1,0,1,528,4.0
528,43,1,2,2,1,12,34,4,4,4,4,4,1,12,2,1,0, ,1,529,4.0
529, ,4,4,4,4,16, ,4,4,4,4, ,1,5,1,1,0, ,1,530,4.0
530, , , , , ,12,53,4,4,4,1, ,1,5,3,0,0, ,1,531,4.0
531, , , , , ,16, ,3,4,4,4, ,1,3,1,1,0, ,1,532,3.5
533, , , , , ,16, ,3,4,4,4,4,1,5,1,1, ,0,1,534,3.5
534, , , , , ,16,55,4,3,4,4, ,1,5,3,1,1,0,1,535,4.0
535,42,4,4,4,4,16,50,3,4,4,4,4,1,22,3,0,1,0,1,536,3.5
538,43,4,4,3,3,16,51,3,4,4,4,4,1,47,2,0,0,0,1,539,3.5
539, ,4,4,4,4,16,44,3,4,4,4,4,1,32,2,1,1,0,1,540,3.5
540, , , , , ,18, ,3,4,4,4,4,1,37,2,1,0,0,3,541,3.5
541, , , , , ,16,56,3,4,4,4,4,1,23,1,1,1,0,1,542,3.5
542, , , , , ,16,39,3,4,4,4,4,1,12,2,1,0,0,1,543,3.5
543,26,2,2,2,2,15,53,4,4,4,4,4,1,5,2,0,1,0,1,544,4.0
544, , , , , ,16,60,4,4,4,4,4,1,12,3,1,0, ,4,545,4.0
545, , , , , ,18,69,4,4,4,4,4,1,51,3,1,1,0,3,546,4.0
546, , , , , ,14,42,3,4,4,4, ,1,56,3,1,1,0, ,547,3.5
547, , , , , ,16,53,4,4,4,4,4,1,5,3,0, ,0,1,548,4.0
549,60,4,4,4,4,16,42,4,4,4,4,4,1,70,3,1,0, ,1,550,4.0
550, ,4,4,4,4,18,67,4,4,4,4,4,3,12,2,1,0, ,1,551,4.0
552, ,2,2,2,2,16,51,4,3,3,3,2,1,25,3,1,6,0,1,553,3.5
553,33,4,4,4,4,15, ,2,4,4,4,4,1,23,3,1,0,0,1,554,3.0
554, ,4,4,4,4,14,31,4,4,4,4,4,1,23,3,0,1,0,1,555,4.0
555,43,3,3,3,3,14,35,4,4,4,4,4,3,70,3,0,10,0,4,556,4.0
556, , , , , ,14,69,4,4,4,4,4,3,5,3,0,1,0,1,557,4.0
562, , , , , ,15, ,4,4,4,4, ,1,0,3,1, , ,1,563,4.0
563, ,4,4,4,4,16, ,4,4,4,4,4,1,0,2,1,3,0,1,564,4.0
565,28,2,4,4,3,14,21,4,4,4,4,4,3,66,3,1,3,1,4,566,4.0
566, , , , , ,15,53,4,4,4,4, ,1,5,2,1,1,0,1,567,4.0
567,26,2,2,2,2,14, ,4,4,4,4,4,1,5,3,1,0,0,1,568,4.0
568, ,1,1,1,1,15,34,4,4,4,4,4,1,26,2,0,0,0,1,569,4.0
569,35,3,3,3,2,12,44,4,4,4,4,4,3,6,2,1,3,0,4,570,4.0
570, , , , , ,12,37,4,4,4,4,4,3,9,3,0,0,0,1,571,4.0
571, , , , , ,12,50,4,4,4,4,4,3,9,3,0,2,0,1,572,4.0
572, ,4,4,4,4,16,31,4,4,4,4,4,3,38,2,1,2,0,1,573,4.0
574, ,2,2,2,2,18, ,4,4,4,4,4,1,5,3,1,5,0,1,575,4.0
575, , , , , ,14, ,4,4,4,4,3, ,5,3,1,2,0,1,576,4.0
576, , , , , ,14,55,3,4,4,4,4,3,0,2,1,0, ,1,577,3.5
577,39,3,3,4,2,12,31,4,4,4,4,4,1,5,1,0,5,0,1,578,4.0
578,28,3,3,2,2,16,42,4,4,4,4,4,1,9,2,0,0,0,1,579,4.0
579,32,2,2,2,1,18,60,4,4,4,4,4,3,8,3,1,100,0,1,580,4.0
580,31,2,3,2,2,15, ,4,4,4,4,4,3,12,1,1,0,0,1,581,4.0
581, , , , , ,16,54,4,4,4,4,4,1,10,2,1,12,0,1,582,4.0
583,42,4,4,4,4,18, ,3,4,4,4,4,1,57,3,1,2,0,1,584,3.5
584, , , , , ,16,53,3,4,4,4,4,1,12,2,1,0,0,1,585,3.5
585, ,1,1,1,1,12, ,4,4,4,4,4,3,31,3,1,0,0,1,586,4.0
586,56,3,3,3,3,16,56,3,4,4,4,4,3, ,1,1,0,0,1,587,3.5
589,30,3,2,2,2,14,43,1,4,4,4,4,1,29,2,0,0,0,1,590,2.5
590,31,2,3,1,1,14,34,4,4,4,4, ,1,13,3,0,0, ,1,591,4.0
591, , , , , ,14,39,4,4,4,4,4,1,11,3,1,1,0,1,592,4.0
592, , , , , ,10,21,4,4,4,4,4,3,10,2,1,3,0,1,593,4.0
593, , , , , ,14,55,4,4,4,4,4,3,11,3,1,0, ,1,594,4.0
594, , , , , ,12,44,3,4,4,4,2,1,5,3,1,0,0,1,595,3.5
595, , , , , ,16,51,4,4,4,4,4,1,5,1,0,1,0,1,596,4.0
596, , , , , ,15,56,2,4,4,4,3,1,53,3,1,3,0,1,597,3.0
597,53,4,4,4,4,15,34,3,4,4,4,4,1,0,1,0,0, ,1,598,3.5
598, , , , , ,12,38,4,4,4,4,4,3,12,3,0,0, ,1,599,4.0
599, , , , , ,15, ,4,4,4,4,4,1,35,3,0,12,0,1,600,4.0
600, ,2,2,3,2,15,60,4,4,4,4,4,3,10,3,1,10,1,4,601,4.0
601, ,4,4,4,3,14,33,4,4,4,4,4,1,9,3,1,15,0,1,602,4.0
602, , , , , ,14,22,3,4,4,4,4,1,5,2,0,2,0,1,603,3.5
604, ,3,3,3,3,14,53,3,4,4,4, ,1,5,2,1,1,0,1,605,3.5
606,37,3,3,3,3,14,53,1,4,4,4,4,1,47,2,0,2,1,4,607,2.5
607, , , , , ,16,44,4,3,3,3,2,3,25,3,0,0,0,1,608,3.5
608, , , , , ,15, ,3,4,4,4,4,1,23,2,1,4,0,1,609,3.5
609, , , , , ,15,34,3,4,4,4,4,1,22,1,1,1,0,1,610,3.5
610,39,3,3,3,3,14,55,3,4,4,4,4,1,22,2,1,1,0,1,611,3.5
611,53,4,4,4,4,14,48,3,4,4,4,4,1,66,2,0,3,0,1,612,3.5
612,26,3,3,2,2,14,22,4,4,4,4,4,1,9,2,0,1,0,1,613,4.0
613, , , , , ,14, ,4,4,4,4, ,1,5,1,1,10,0,1,614,4.0
614,46,3,3,3,3,10,23,4,4,4,4,4,1,5,3,1,0,0,1,615,4.0
615, ,1,2,1,1,12,31,3,3,3,3,4,3,9,2,0,0,0,1,616,3.0
616, , , , , ,15,52,4,4,4,4,4,1,68,3,1,0,0,1,617,4.0
617,28,2,2,2,1,12, ,3,3,3,3,3,3,5,3,0,0,0,1,618,3.0
618, , , , , ,14,44,4,4,4,4,4,1,6,3,1,3,0,1,619,4.0
619,67,4,4,4,4,18,78,4,4,4,4,4,3,12,2,1,3,0,1,620,4.0
620, , , , , ,14, ,2,4,4,4,4,1,23,3,0,0,0,1,621,3.0
622, , , , , ,15, ,3,4,4,4,4,3,34,2,0,10,1,3,623,3.5
623,54,4,4,4,4,12,34,3,4,4,4,4,1,23,3,0,3,0,1,624,3.5
624, , , , , ,15,53,4,4,4,4, ,1,52,2,1,1,0,1,625,4.0
625,54,3,3,3,3,15, ,4,4,4,4,4,1,52, ,0,0, ,4,626,4.0
626,78,4,4,4,4,16, ,1,4,4,4,4,1,33,3,0,3,0,1,627,2.5
627, ,2,2,2,2,15, ,3,3,3,3,3,3,32,3,1,1,0,1,628,3.0
628, , , , , ,15, ,3,4,4,4,4,1,42,2,1,0,0,1,629,3.5
629, , , , , ,15, ,3,3,3,3,3,3,33,1,1,2,0,1,630,3.0
630,42,1,1,1,1,14,32,4,4,4,4,4,1,29,2,1,0,0,1,631,4.0
635,23,2,2,3,3,15,49,4,4,4,4, ,1,6,2,1,0, ,1,636,4.0
637, ,3,3,3,3,12,30,4,4,4,3,2,1,13,3,1,1,0,1,638,4.0
638,34,4,4,4,4,15, ,4,4,4,4,3,3,5,3,1,0, ,1,639,4.0
639,39,3,3,3,3,15, ,4,4,4,4,4,3,66,1,0,1,0,1,640,4.0
640, , , , , ,12,39,4,4,4,4,4,3,23,3,0,20,1,4,641,4.0
641,42,2,3,1,1,16,56,3,4,4,4,4,1,52,3,0,0, ,1,642,3.5
642,53,3,3,3,3,14, ,4,4,4,4,4,1,12,3,1,0, ,1,643,4.0
643, , , , , ,15, ,4,4,4,4,4,3,12,3,0,0,0,1,644,4.0
644, , , , , ,14,58,4,4,4,4,4,1,5,2,0,1,0,1,645,4.0
645, , , , , ,12,39,4,3,3,3,3,3,9,3,0,2,0,1,646,3.5
646,38,1,2,2,1,12,34,3,4,4,4, ,1,60,3,0,3,0,1,647,3.5
647,42,2,3,1,1,15, ,4,4,4,4,4,3,12,3,1,1,0,4,648,4.0
648, , , , , ,14,34,4,4,4,4, ,3,12,3,0,0, ,1,649,4.0
649, , , , , ,15,42,4,4,4,4, ,1,12,2,0,0, ,1,650,4.0
650, ,4,4,4,4,15, ,4,4,4,4,4,3,66,3,0,2,0,4,651,4.0
651,53,3,4,3,3,14,50,4,4,4,4,4,1,5,3,1,3,0,1,652,4.0
652, ,3,3,4,4,16,42,4,4,4,4,4,1,12,2,0,0, ,1,653,4.0
653, , , , , ,15,49,4,4,4,4,4,3,11,3,0,0,0,1,654,4.0
654, , , , , ,12,34,4,4,4,4,4,3,52,3,1,0,0,2,655,4.0
655,26,4,4,4,4,15,42,4,4,4,4,4,1,22,3,1,1,1,1,656,4.0
656,32,4,4,4,4,15,42,1,4,4,4,4,1,23,3,1,2,1,1,657,2.5
657, , , , , ,15, ,4,4,4,4, ,1,5,3,0,0, ,1,658,4.0
658,20,2,2,1,1,14,42,4,4,4,4, ,1,3,3,1,20,0,1,659,4.0
659,42,3,3,3,3,14,46,4,4,4,4, ,1,5,3,0,5,0,1,660,4.0
660, , , , , ,15,49,4,4,4,4, ,2,5,3,1,5,0,1,661,4.0
661, , , , , ,12, ,3,4,4,4, ,1,12,3,0,0, ,1,662,3.5
662, , , , , ,14,53,3,4,4,4, ,1,5,3,0,0, ,1,663,3.5
663, ,2,2,3,2,16,32,3,4,4,4,4,1,12,2,0, , ,1,664,3.5
664, , , , , ,16,69,4,4,4,4, ,1,5,3,0,0, ,1,665,4.0
665,52,3,3,3,3,14,53,3,4,4,4,4,1,5,2,1,2,0,1,666,3.5
666,40,2,2,2,2,12,49,4,3,4,4, ,1,5,2,0,1,0,1,667,4.0
667,26,3,3,3,3,14,51,4,4,4,4, ,1,5,1,0,1,0,1,668,4.0
668,53,4,4,4,4,14,37,3,4,4,4,4,1,0,2,1,0,0,1,669,3.5
669, , , , , ,16,51,3,3,3,3,3,1,23,3,1,1,0,1,670,3.0
670, , , , , ,15,30,2,4,4,4,4,1,3,3,0,10,0,1,671,3.0
671, , , , , ,14,49,4,4,4,4,4,1,12,3,0,0, ,1,672,4.0
672, , , , , ,14, ,4,4,4,4,4,1,12,3,0,0, ,1,673,4.0
673,67,4,4,4,4,15,53,4,4,4,4, ,1,5,3,1,0, ,1,674,4.0
674, ,3,4,3,3,18,62,4,4,4,4,4,3,60,3,0,0,0,1,675,4.0
675,44,4,4,4,4,15,48,4,4,4,4, ,1,53,1,1,25,1,4,676,4.0
676, , , , , ,10,39,4,4,4,4, ,2,4,3,0,2,0,4,677,4.0
677, , , , , ,14,54,4,4,4,4, ,3,51,3,0,2,0,4,678,4.0
678,20,3,3,2,2,15, ,4,4,4,4, ,1,51,1,0,1,0,1,679,4.0
679,21,3,4,2,2,18,34,4,4,4,4, ,1,52,2,0,0, ,1,680,4.0
680, ,2,2,3,2,16,66,4,4,4,4, ,1,51,3,1,2,0,1,681,4.0
681,26,3,3,1,1,14, ,4,4,4,4,4,3,52,3,1,0, ,1,682,4.0
682, , , , , ,16,72,4,4,4,4,4,3,51,2,1,0, ,1,683,4.0
683,22,3,3,2,2,16,58,3,3,4,4,3,1,68,3,1,0,0,1,684,3.5
684, , , , , ,16,67,3,4,4,4,4,1,33,2,1,4,0,1,685,3.5
685, ,2,2,2,1,16,58,1,4,4,4,4,1,33,2,1,0,0,1,686,2.5
686, , , , , ,15, ,2,4,4,4,4,1,33,2,1,1,0,1,687,3.0
687, , , , , ,16,67,4,4,4,4, ,1,3,3,1,3,0,1,688,4.0
693, , , , , ,12, ,1,4,4,4,4,1,55,2,0,0, ,1,694,2.5
697, , , , , ,16,58,4,4,4,4,4,3,10,3,1,100,0,1,698,4.0
699,49,4,4,4,4,12, ,4,4,4,4,3,1,22,2,1,1,0,1,700,4.0
700,26,2,2,2,1,15, ,4,3,4,4,4,3,10,3,0,40,0,4,701,4.0
701, ,4,4,4,4,14,53,2,4,4,4,4,1,23,2,1,1,0,1,702,3.0
702,34,4,4,4,4,16,42,4,4,4,4,4,1,23,2,1,5,0,1,703,4.0
703, , , , , ,14, ,4,4,4,4,4,3,6,3,1,5,0,1,704,4.0
704,50,4,4,4,4,14,34,4,4,4,4,4,3,9,3,1,30,0,1,705,4.0
705, , , , , ,12,18,4,3,3,3,3,3,9,3,0,4,0,1,706,3.5
706,37,3,3,3,3,12,37,3,3,3,3,3,1,10,3, ,4,0,1,707,3.0
707, , , , , ,16,39,3,3,4,3,3,3,24,3,1,0,0,1,708,3.5
708, , , , , ,16,62,3,4,4,4,4,1,0,2,1,0,0,1,709,3.5
709, , , , , ,12,46,4,4,3,3,3,3,25,3,0,1,0,1,710,3.5
710, , , , , ,14,39,4,4,4,4,3,1,11,3,1,0,0,1,711,4.0
711,56,2,2,2,2,12,42,4,4,4,4,4,3,12,3,0,0,0,1,712,4.0
712, , , , , ,12,30,4,4,4,4,4,1,5,3,1,0, ,1,713,4.0
713, , , , , ,14,62,3,4,4,4,4,1,5,1,0,0, ,1,714,3.5
714, ,1,1,1,1,10, ,4,4,4,4,4,3,28,3,0,0,0,1,715,4.0
715, , , , , ,12,23,4,3,3,3,3,3,9,2,1,0,0,1,716,3.5
717, , , , , ,15,37,4,4,4,4,4,1,22,3,1,0,0,1,718,4.0
718,22,2,2,2,2,15,38,4,4,4,4,4,3,16,2,1,2,0,1,719,4.0
719,58,3,3,3,3,12, ,4,4,4,4,4,3,46,3,0,4,0,4,720,4.0
722, , , , , ,14,50,3,4,4,4,4,1,23,3,0,2,0,1,723,3.5
723,44,4,4,4,4,16,62,4,4,4,4,4,1,22,3,1,2,0,4,724,4.0
724, , , , , ,16,42,3,4,4,4,4,1,23,3,1,1,0,1,725,3.5
725, , , , , ,14,46,3,4,4,4,4,1,22,3,0,1,0,1,726,3.5
726, , , , , ,15,46,4,4,4,4,4,1,23,2,0,1,0,1,727,4.0
727,42,3,3,3,3,16, ,4,4,4,4,4,1,22,3,0,1,0,1,728,4.0
728,46,4,4,4,4,15,62,2,4,4,4,4,3,23,3,1,4,0,4,729,3.0
729, , , , , ,14,40,4,4,4,4,4,3,23,2,0,0,0,1,730,4.0
730,42,4,4,4,4,16,51,4,4,4,4,4,1,22,3,1,4,0,1,731,4.0
731, , , , , ,16, ,3,4,4,4,4,1,23,3,1,1,0,1,732,3.5
737,32,3,3,3,3,14,55,4,4,4,4,4,3,42,1,1,1,0,1,738,4.0
738, , , , , ,12,34,3,4,4,4,4,3,33,3,1,0,0,1,739,3.5
740,54,3,3,3,3,15,53,1,4,4,4,4,1,23,3,1,0,0,1,741,2.5
741, ,2,2,2,2,12,55,4,4,4,4,4,1,6,3,1,50,0,1,742,4.0
742,50,4,4,4,4,12,39,4,4,4,4,4,1,10,3,0,0,0,1,743,4.0
743, , , , , ,15, ,4,4,4,4,4,3,8,3,1,2,0,1,744,4.0
744, , , , , ,16,31,3,4,4,4,4,1,22,3,0,1,0,1,745,3.5
745,17,2,2,2,2,14,46,4,4,4,4,3,3,10,2,1,2,0,4,746,4.0
746, , , , , ,12,34,4,4,4,4,4,3,19,3,1,0,0,3,747,4.0
747, , , , , ,15,47,4,4,4,4,4,1,10,1,0,1,0,1,748,4.0
748,34,3,3,3,2,15,34,4,4,4,4,4,3,8,3,0,50,1,2,749,4.0
749, , , , , ,10, ,4,4,4,4,4,1,9,3,1,0,0,1,750,4.0
750, , , , , ,15,42,4,4,4,4,4,3,9,3,0,10,0,4,751,4.0
751, , , , , ,15,34,4,4,4,3,3,3,9,3,1,10,1,4,752,4.0
752, , , , , ,10,31,4,3,3,3,3,2,9,3,1,1,0,1,753,3.5
753, ,2,3,2,1,15,39,4,4,4,4,4,3,10,3,1,5,0,1,754,4.0
754, ,2,2,2,2,14,20,4,4,4,4,3,3,10,3,1,25,0,1,755,4.0
755, ,2,3,2,2,12,53,4,4,4,4,4,3,9,3,1,2,0,1,756,4.0
756,26,3,3,3,3,15,31,4,4,4,4,4,3,5,3,0,3,0,1,757,4.0
757, , , , , ,15,49,4,4,4,4,4,3,10,3,1,5,0,1,758,4.0
758,50,3,3,3,3,14,33,4,4,4,4,4,3,10,3,0,100,0,1,759,4.0
759,42,4,4,4,4,10,18,4,4,4,4,3,1,6,3,0,0,0,1,760,4.0
760, , , , , ,14,49,4,4,4,4,4,3,9,3,0,0,0,4,761,4.0
761, , , , , ,12,31,3,3,3,3,3,2,9,3,1,1,0,1,762,3.0
762, ,4,4,4,4,12,46,4,4,4,4,3,3,10,3,0,1,0,1,763,4.0
763,76,4,4,4,4,12,33,4,4,4,4,3,3,8,2,1,30,0,4,764,4.0
764, , , , , ,12,50,4,4,4,4,4,3,9,3,0,0,0,1,765,4.0
765, , , , , ,10,46,4,4,4,3,3,3,10,2,0,2,0,1,766,4.0
