"","ea","mi","english","work"
"586",1,0,1,4
"587",11,3800,3,1
"589",7,2200,4,1
"590",2,1500,2.25,1
"591",4,720,1.75,1
"598",6,1000,4,1
"601",9,0,2.25,8
"602",2,0,3.75,7
"605",9,0,3,8
"607",9,2500,3,1
"612",9,0,4,6
"613",7,1400,2.5,1
"615",10,2000,3,1
"616",2,0,1.25,8
"618",3,700,1.75,2
"624",10,4600,4,1
"626",9,900,3,1
"627",12,6000,4,1
"628",10,0,2,6
"631",2,850,1,2
"632",3,2500,4,1
"634",10,0,4,8
"636",4,800,2.5,1
"637",4,2200,3,1
"638",10,0,3,8
"639",7,2400,4,1
"640",10,2000,3,1
"642",3,0,1.75,9
"643",6,3500,3,1
"647",7,500,1.5,1
"648",5,300,1.75,1
"651",10,2094,4,1
"652",9,1200,3.25,2
"653",7,0,3.5,8
"659",3,800,1.5,1
"660",7,1300,3,2
"664",3,0,2.25,8
"667",10,2000,2,1
"668",11,1200,3,1
"669",8,3000,4,1
"674",7,1800,4,1
"675",4,0,3.25,8
"676",10,2200,4,1
"679",2,1200,2.5,1
"680",3,800,2.75,1
"681",4,0,2.25,4
"682",2,900,2,1
"686",4,0,1.75,3
"689",9,1100,4,1
"693",6,500,4,1
"697",10,2200,4,1
"699",10,2600,3,1
"700",9,1600,4,1
"701",2,1200,1.75,1
"702",6,0,4,6
"703",10,2000,4,1
"705",7,400,4,2
"707",7,2600,3,1
"712",5,3500,2,1
"715",2,0,1,7
"719",3,800,2,2
"720",4,800,3,1
"721",9,2000,3,1
"722",9,0,3,6
"724",9,2500,4,1
"728",9,3200,3,1
"729",9,3600,4,1
"731",10,2200,4,1
"733",9,1178,3.75,2
"734",10,3000,4,1
"735",10,1000,4,1
"738",8,4000,3,1
"741",6,2000,3,1
"742",2,0,2,4
"743",9,0,4,5
"746",2,350,2,2
"749",5,2400,2.75,1
"754",3,0,2,7
"755",8,0,2,8
"756",2,0,2.25,8
"757",2,800,3,1
"760",9,900,4,2
"763",4,0,4,3
"764",12,7000,4,1
"767",4,0,1.75,8
"770",2,0,2.25,8
"771",2,800,2,2
"774",2,1000,2,1
"776",2,880,2.5,1
"778",3,800,2.5,1
"781",2,880,2,1
"783",2,0,2,3
"784",3,2000,2.75,1
"786",2,1600,2.25,1
"787",2,0,1.25,7
"789",2,1800,1.25,1
"790",2,0,2,7
"791",2,900,1.75,1
"792",3,0,3.5,8
"795",7,2300,2,1
"796",2,0,1.75,8
"799",5,2000,4,1
"802",2,900,4,1
"803",4,1000,3.75,2
"804",2,0,2.25,8
"807",4,0,4,4
"809",9,6000,4,1
"810",10,3100,3.25,1
"811",8,5000,3,1
"812",3,4000,2.75,2
"818",2,1000,2,1
"819",2,0,1.25,8
"821",3,0,2,3
"822",9,5000,3,1
"823",11,3000,3,1
"826",10,5500,3,1
