"","ea","mi","english","work"
"2270",5,1000,2,1
"2274",11,8000,4,1
"2275",4,1200,2.5,1
"2276",10,8000,3.75,1
"2277",7,0,3,3
"2278",10,2000,4,1
"2280",8,1800,3,1
"2283",10,1920,4,1
"2286",6,0,3,8
"2287",3,800,2,2
"2288",9,2300,4,1
"2296",5,0,4,6
"2299",6,0,4,8
"2302",4,0,2.75,8
"2304",7,2000,3,2
"2306",4,1200,2,1
"2307",12,5000,4,1
"2312",3,2000,2.25,1
"2316",10,3200,3,1
"2318",10,3000,3,1
"2320",5,800,4,1
"2321",9,1200,3,2
"2324",4,4000,3,1
"2325",8,600,2.25,2
"2326",7,400,2.25,2
"2330",7,150,2,2
"2331",2,800,2,1
"2333",6,1500,4,1
"2337",9,3800,2.25,1
"2339",3,880,2,1
"2340",5,0,3,3
"2344",7,0,1.75,8
"2349",2,0,1.25,8
"2354",10,1500,2.75,1
"2359",3,800,2.75,2
"2360",11,1000,3,1
"2362",6,1000,2,1
"2364",9,0,3,4
"2366",7,1600,4,1
"2368",4,900,2.25,1
"2370",3,0,4,8
"2374",4,2800,3,1
"2378",9,1000,2.5,2
"2380",10,2300,4,1
"2381",10,2000,4,1
"2382",9,3500,4,1
"2383",6,800,3,1
"2384",3,1200,1.75,1
"2387",10,3500,4,1
"2389",3,0,2,8
"2392",10,0,4,3
"2393",2,1300,2,1
"2396",7,0,2.25,8
"2397",4,0,1.75,3
"2399",2,1200,3,1
"2405",9,2200,4,1
"2407",5,0,3,8
"2409",6,1600,4,1
"2412",4,800,3,1
"2414",3,1000,2,1
"2415",11,2000,3,1
"2421",10,0,3,7
"2423",4,2000,4,1
"2426",4,1700,4,1
"2428",6,600,1.75,1
"2429",9,840,2,2
"2431",4,1500,4,1
"2436",3,1600,1,1
"2437",5,0,2.5,4
"2439",4,800,2,1
"2441",4,1200,3.25,1
"2442",7,1800,2,2
"2446",7,2500,2.5,1
"2450",4,0,4,7
"2454",7,800,3,1
"2456",4,1000,3,1
"2459",3,100,3,1
"2460",3,1000,1.25,1
"2466",11,3000,4,1
"2468",10,0,2.75,3
"2471",8,0,3,8
"2472",9,0,4,3
"2479",9,0,3,5
"2482",10,500,3,2
"2487",9,1200,2.75,1
"2488",7,1500,3,1
"2489",9,20000,3,1
"2491",7,2000,3,1
"2493",10,2600,3,1
"2495",7,1600,2.5,1
"2500",4,0,3,8
"2501",9,2916,4,1
"2502",10,2000,2.5,1
"2503",2,1200,2,1
"2504",4,1300,4,1
"2505",3,600,2,1
"2508",8,800,3,1
"2511",12,12,4,1
"2515",10,12000,4,1
"2517",10,0,2.5,9
"2518",9,1200,2.75,1
"2521",9,3000,4,2
"2522",7,1500,3,1
"2527",4,80,1.25,1
"2530",9,2500,3,1
"2531",7,1500,2.75,1
"2532",4,1000,1,1
"2534",11,2000,3,2
"2535",9,2600,3,1
"2536",11,7500,4,1
"2537",10,3000,2,1
"2545",4,0,3,3
"2546",3,1500,1,1
"2547",4,2000,4,1
"2552",4,0,2,8
"2553",6,1000,3,1
"2557",6,1200,4,1
"2559",10,2000,4,1
"2560",7,0,4,7
"2563",9,800,4,2
"2564",11,8500,4,1
"2574",11,12000,4,1
"2575",6,3000,4,1
"2576",2,0,2.25,8
"2582",4,900,2,2
"2588",10,1000,4,2
"2590",10,1000,2.25,1
"2591",4,2000,1.5,1
"2592",6,800,2,1
"2593",4,0,2.5,8
"2594",9,2500,4,1
"2599",5,0,1.5,3
"2600",4,1000,3,1
"2601",9,1500,4,1
"2605",9,5500,3,1
"2606",4,0,2.5,8
"2612",9,5000,4,1
"2613",3,620,2,2
"2614",2,1500,2.25,1
"2620",4,700,1,1
"2624",11,3100,4,1
"2628",9,2000,3,1
"2629",11,2300,2,1
"2630",7,1800,4,1
"2631",4,600,2.75,2
"2634",7,3000,3,1
"2636",7,0,4,8
"2638",3,2000,2.25,1
"2640",7,2500,4,1
"2642",11,4000,4,1
"2643",4,1200,3,1
"2644",10,1600,4,2
"2646",9,1000,1,1
"2647",10,2000,4,1
"2649",8,2900,4,1
"2650",7,1800,3,1
"2651",6,1000,4,1
"2652",11,5000,4,1
"2654",4,950,2,1
"2655",6,200,3,2
"2660",3,0,2,8
"2663",2,500,2.5,1
"2664",4,0,4,7
"2665",4,1000,4,1
"2666",6,2000,4,1
"2668",12,1100,4,2
"2669",9,1600,4,1
"2673",2,0,1.75,8
"2674",3,0,2,9
"2677",4,0,3,4
"2682",11,0,4,8
"2685",10,1500,4,1
"2686",7,2000,2.5,1
"2688",4,0,1.5,8
"2691",11,2500,2.75,1
"2696",9,1500,3,1
"2697",7,5000,2,1
"2698",3,1000,1,1
"2709",6,0,2.75,3
"2710",4,0,1,8
"2716",5,4000,3,1
"2717",3,600,1.5,1
"2718",4,1300,3,1
"2720",4,0,3.5,8
"2721",9,3600,3.75,1
"2726",4,0,3.5,3
"2728",8,5100,4,1
"2737",8,0,3,8
"2740",9,0,2.25,8
"2745",3,600,1,1
"2747",4,0,2.75,8
"2751",3,0,1.25,8
"2754",10,1500,2,1
"2755",5,692,2,1
"2756",11,8000,4,1
"2757",4,5000,4,1
"2759",10,3200,3.25,1
"2760",4,1000,3,1
"2761",7,2500,2.75,1
"2762",2,800,1,1
"2766",2,900,1.25,1
"2767",7,1650,4,1
"2769",9,1000,1,2
"2770",10,4000,4,1
"2772",8,1240,4,1
"2774",2,608,2,1
"2776",3,0,2,6
"2777",11,8000,4,1
"2782",10,1200,3,1
"2784",11,4000,4,1
"2785",10,2020,4,1
"2786",10,3200,4,1
"2787",11,6000,3,1
"2788",8,2000,1.75,1
"2791",10,0,2.75,8
"2792",2,0,1,7
"2793",2,2000,2,1
"2794",2,0,1.5,7
"2795",2,0,1,8
"2796",2,0,1.5,7
"2797",3,2500,2,1
"2798",7,5200,3,1
"2799",2,0,1,8
"2800",2,0,2,8
"2801",9,6000,2,1
"2802",2,0,1.75,3
"2803",2,0,1,8
"2804",2,0,1,8
"2805",9,4000,3,1
"2806",2,0,2,8
"2807",2,0,1.5,3
"2808",2,0,1,7
"2809",4,0,2,8
"2810",9,0,2,8
"2811",2,0,1.25,7
"2812",10,0,2,6
"2814",4,0,3,4
"2815",3,0,2.25,4
"2816",2,0,1,7
"2817",7,0,3,3
"2818",9,3000,3,1
"2819",2,0,1,8
"2820",4,5000,3,1
"2821",2,0,1,6
"2822",4,0,4,8
"2823",2,0,1.75,7
"2824",2,0,1.5,7
"2825",2,0,1,7
"2826",4,2500,3,1
"2827",2,0,1,7
"2829",2,0,1,8
"2830",8,7000,3,1
"2831",3,6500,3,1
"2832",2,0,1.25,7
"2833",4,0,2,7
"2834",2,0,2,4
"2835",2,0,2,8
"2836",2,0,2,7
"2837",10,0,4,3
"2838",2,0,2,8
"2840",2,0,2,8
"2841",2,0,1,8
"2842",2,0,1.5,7
"2843",2,0,1,8
"2844",2,0,1.25,8
"2845",4,0,1,7
"2846",5,2500,4,1
"2847",2,0,2,6
"2848",4,0,2,8
"2849",10,0,2.5,7
"2850",2,3000,2,1
"2851",7,6000,3,1
"2853",2,0,1.25,8
"2854",9,2200,2,1
"2855",2,0,2,8
"2856",2,0,1,7
"2857",2,0,2,8
"2858",2,0,2,6
"2859",2,0,1,7
"2861",3,0,1.75,8
"2862",2,6500,2,1
"2866",2,0,1,7
"2868",10,200,4,2
"2874",9,3900,3,1
"2875",9,2500,3.75,1
"2878",10,0,3,3
"2880",5,0,4,7
"2882",9,1200,2.5,1
"2883",10,2200,4,2
"2884",6,1200,3,1
"2892",7,5000,4,1
"2893",10,1000,3,1
"2895",3,1100,3,1
"2896",1,0,1,4
"2897",9,0,4,3
"2899",1,0,1.5,4
"2900",1,0,1,4
"2902",2,0,1.5,4
"2903",2,0,1.75,4
"2904",2,0,1.5,8
"2905",2,0,1,8
"2906",2,0,1,4
"2907",1,0,1.25,4
"2908",2,0,2,8
"2910",10,3000,4,1
"2913",5,2500,1,2
"2918",6,5833,4,1
"2920",10,976,4,1
"2923",10,0,3.5,8
"2931",5,1000,4,1
"2932",10,4000,4,1
"2934",9,4000,4,2
"2940",12,15000,4,2
"2941",4,600,2,1
"2942",4,0,4,6
"2944",10,3000,4,1
"2945",10,3000,4,2
"2946",10,2800,4,1
"2949",9,3800,3,1
"2953",2,900,2,1
"2955",9,2500,3,1
"2956",3,1000,4,1
"2959",2,575,2,1
"2960",3,1000,3,1
"2962",7,2500,4,2
"2963",4,0,2,3
"2964",6,0,2.25,3
"2965",7,2400,1.75,1
"2969",2,640,1.5,1
"2971",1,0,2,4
"2973",3,800,2,1
"2977",9,600,4,1
"2979",4,900,2.25,1
"2982",3,800,2.75,1
"2985",8,0,3,8
"2986",3,1200,3,1
"2987",3,0,2,8
"2988",3,0,1.5,3
"2989",4,3200,3,1
"2990",3,1500,2,2
"2991",9,2400,3,1
"2993",2,1200,2,1
"2997",4,1500,3,2
"3000",2,0,1.5,4
"3001",11,5000,3.75,1
"3002",2,0,1,6
"3003",2,0,1.5,4
"3004",2,0,3,8
"3005",10,3800,3,1
"3009",2,0,2,6
"3012",10,0,2,8
"3013",10,0,3.75,4
"3014",10,550,4,1
"3015",5,6000,2.25,1
"3017",4,2900,3,1
"3018",11,0,3,3
"3019",2,0,1.25,3
"3020",10,20000,4,1
"3021",2,1200,2,1
"3024",2,0,2,8
"3025",2,800,2,2
"3026",3,2000,2,1
"3031",2,0,1.5,4
"3033",4,0,2.5,7
"3034",2,1020,1.5,2
"3035",4,0,4,7
"3037",2,0,2,7
"3038",2,0,1,7
"3039",2,0,1,8
"3040",1,0,1,8
"3041",1,0,1,7
"3042",1,0,1,7
"3043",9,3000,3,2
"3044",2,0,2,4
"3045",1,0,1,8
"3046",2,0,2.25,7
"3047",2,0,1.75,7
"3049",2,0,1,7
"3050",2,0,1,4
"3051",2,0,1,7
"3052",1,0,1,7
"3053",2,0,1,7
"3054",2,0,1,7
"3055",7,0,2,3
"3056",2,0,1,6
"3057",2,0,1,7
"3058",2,1800,2.5,1
"3059",2,0,1.25,7
"3060",2,0,1,7
"3061",2,0,1.5,7
"3062",2,0,1,7
"3063",1,0,1,8
"3064",4,0,4,3
"3065",2,0,1,7
"3066",2,0,1,7
"3067",1,0,1,8
"3068",2,1200,2,1
"3069",2,0,1,8
"3070",2,0,1,7
"3071",2,0,1.5,7
"3072",2,1000,2.5,2
"3077",2,1400,2.75,1
"3079",7,2000,2,1
"3080",3,1050,4,1
"3081",4,1000,4,1
"3082",3,0,4,6
"3084",4,500,3,2
"3087",3,0,4,8
"3088",4,0,2.75,3
"3090",10,20000,4,1
"3093",10,1700,4,1
"3095",8,1500,4,2
"3097",7,850,4,1
"3100",11,2000,4,1
"3101",10,0,4,9
"3108",4,1005,3,1
"3109",10,2200,3.5,1
"3112",10,2500,3,1
"3114",10,5000,4,1
"3115",9,1500,4,1
"3116",10,1640,4,1
"3117",10,5000,3,1
"3118",10,3000,3.75,1
"3122",10,0,3,4
"3125",3,1500,2,1
"3127",8,3000,4,1
"3128",10,1200,2.75,1
"3130",10,1100,3.5,1
"3131",10,4500,3.75,1
"3132",10,2500,4,1
"3133",10,0,4,4
"3138",10,700,4,2
"3139",6,3000,3.25,1
"3144",9,2000,4,1
"3145",2,4000,3,2
"3147",3,5200,4,1
"3151",3,1400,4,1
"3153",4,2000,3,1
"3155",10,4000,4,1
"3158",10,7000,4,1
"3163",6,1200,4,1
"3167",10,4000,4,1
"3168",2,0,1,7
"3170",9,1600,3,2
"3176",9,3800,4,1
"3177",12,8300,4,1
"3178",7,1000,4,2
"3179",10,7000,4,1
"3181",5,1500,3.25,1
"3182",2,0,1.25,8
"3184",2,0,1.5,7
"3186",6,1600,4,1
"3187",10,3000,4,1
"3189",4,1000,3,1
"3193",9,5000,2,1
"3197",9,3000,4,1
"3198",4,840,4,1
"3201",2,0,1,8
"3203",4,5500,3.5,1
"3204",10,2900,4,1
"3215",3,0,3,8
"3216",10,6000,4,1
"3224",8,400,4,2
"3229",9,3000,4,1
"3232",2,0,2,6
"3235",10,0,4,6
"3236",9,1800,4,1
"3237",4,0,4,9
"3239",4,1500,3,1
"3242",5,1500,3,1
"3252",10,0,3,6
"3253",10,1200,4,1
"3256",10,4600,4,1
"3257",10,4400,4,1
"3259",2,0,2,7
"3261",4,0,4,7
"3262",2,1800,2.5,1
"3264",4,0,4,8
"3268",8,650,3.75,1
"3270",10,3000,4,1
"3271",4,4000,4,1
"3274",4,1200,2,1
"3276",10,3500,3.75,1
"3277",10,2700,4,1
"3281",10,6000,4,1
"3285",9,3900,4,1
"3286",9,4000,4,1
"3287",8,3200,4,1
"3288",10,2700,4,1
"3290",10,3600,4,1
"3293",4,0,4,7
"3296",9,0,3,6
"3300",9,1900,4,1
"3303",8,0,4,6
"3305",4,1000,4,1
"3306",9,2400,4,1
"3309",2,0,1,7
"3310",10,8300,4,1
"3314",5,4000,3,1
"3317",4,10000,4,1
"3318",12,8000,4,1
"3322",12,0,3,8
"3324",10,4000,4,1
"3328",7,0,4,8
"3332",4,2000,3.75,1
"3334",4,1600,1.25,1
"3335",9,12000,4,1
"3337",11,6500,4,1
"3347",9,4000,4,1
"3348",10,7000,3,1
"3354",7,1800,3,1
"3360",5,2000,3,1
"3361",11,2000,3,1
"3366",4,600,2,1
"3368",3,2200,4,1
"3369",9,2000,3,1
"3372",6,1600,4,1
"3373",5,2000,2,1
"3378",7,2200,3,1
"3379",2,0,1.25,3
"3380",8,1200,3,1
"3382",4,0,1.5,8
"3384",4,0,2,3
"3385",6,1200,3,1
"3391",12,2600,2.75,1
"3394",9,3200,3,1
"3395",4,750,1.75,1
"3399",4,2000,2.25,1
"3400",7,0,4,7
"3406",9,0,2.5,8
"3407",10,0,2.5,8
"3409",2,750,1,1
"3411",3,1000,2,1
"3418",7,1200,2,1
"3419",10,1300,2.75,1
"3421",3,5000,4,1
"3422",10,1112,3.75,1
"3425",7,1500,3,1
"3429",3,2800,3,1
"3433",10,1800,3,1
"3440",9,2400,3,1
"3441",4,300,2.5,2
"3444",4,2000,3,1
"3445",4,1500,2,1
"3448",8,2000,4,1
"3452",4,920,2.25,1
"3457",5,1000,3,1
"3458",8,4000,2.75,1
"3460",7,0,4,8
"3462",7,3000,4,1
"3463",10,0,2.75,3
"3467",7,1600,3,1
"3469",7,1500,2,1
"3470",4,0,2,6
"3472",6,1400,3,1
"3474",9,0,1.75,7
"3475",4,1200,2,1
"3477",11,3000,4,1
"3478",12,2000,3,2
"3479",10,1000,2.25,1
"3489",9,1200,3,1
"3491",6,1200,3,1
"3498",9,1200,4,1
"3499",4,0,2,8
"3501",10,0,2.75,6
"3504",5,600,1.25,1
"3507",2,0,4,7
"3512",4,1200,2,1
"3513",4,800,1,1
"3515",3,700,2,2
"3517",4,0,2.75,6
"3518",9,5000,4,1
"3520",8,700,2.75,2
"3521",11,500,3.25,1
"3536",9,1600,4,1
"3546",9,900,2.75,1
"3570",9,0,4,8
"3573",2,1200,2,2
"3574",4,1400,4,1
"3577",4,1650,4,1
"3585",4,0,4,8
"3586",3,1400,1.75,1
"3589",5,600,4,2
"3597",4,2400,4,1
"3598",10,4333,4,1
"3602",7,1000,3,1
"3603",8,2500,3,1
"3612",3,2720,3,1
"3613",3,500,1.5,2
"3617",11,3000,3,1
"3622",10,0,4,3
"3631",6,0,2,8
"3633",4,0,2,8
"3646",4,600,1.75,1
"3659",6,0,3,8
"3669",9,3200,3,1
"3680",4,0,2.75,8
"3682",12,0,4,6
"3692",6,2230,4,1
"3693",6,3000,4,1
"3696",2,0,1,8
"3698",4,1000,4,1
"3699",7,0,3,3
"3701",6,1600,2,1
"3703",4,1000,4,1
"3706",10,1400,4,1
"3707",9,0,2,3
"3708",10,2050,3.75,1
"3709",2,750,1,1
"3711",3,1600,2.75,1
"3713",3,500,2.25,2
"3714",2,1200,3,1
"3716",4,1000,3.5,1
"3718",4,850,2.25,1
"3720",7,0,4,8
"3721",2,500,4,2
"3734",7,4000,4,1
"3739",9,1100,4,1
"3740",4,900,2,1
"3742",6,2500,2.5,1
"3743",3,0,4,3
"3746",5,0,2,8
"3748",4,0,1.75,3
"3754",7,1300,3,1
"3755",4,2000,3.75,1
"3756",10,2400,4,1
"3759",8,1400,3,1
"3760",6,0,3,3
"3763",4,0,2,8
"3768",5,800,3,1
"3776",7,600,2,1
"3780",4,0,1.5,3
"3783",4,800,4,1
"3792",3,800,2,1
"3794",9,2000,3.75,1
"3798",4,2500,1.75,1
"3799",9,880,4,1
"3806",4,900,3,1
"3812",8,0,2,8
"3822",4,1200,1.5,1
"3825",2,0,1.75,8
"3832",2,0,1.75,3
"3835",10,0,3,8
"3839",4,600,1.5,2
"3844",5,2000,2,1
"3846",6,0,2,8
"3850",4,1800,3.5,1
"3851",4,0,4,8
"3852",7,1200,2,1
"3853",4,3000,4,1
"3857",4,800,2.25,1
"3862",3,600,1.5,1
"3864",4,1600,2.25,1
"3865",9,4000,4,1
"3869",8,0,3,3
"3872",10,0,2,8
"3873",10,0,2,8
"3875",10,1200,3,1
"3876",8,1500,3,1
"3880",4,3800,4,1
"3885",3,0,2,3
"3889",4,2200,3,1
"3890",5,0,4,3
"3892",7,1833,3.25,1
"3894",4,600,4,1
"3895",3,500,4,2
"3896",7,550,1.75,1
"3912",3,1150,2,2
"3914",4,1000,3,1
"3916",12,1700,4,1
"3917",3,800,2,2
"3919",9,4000,4,1
"3923",11,2500,4,1
"3932",6,1450,3.25,1
"3935",4,1000,2,1
"3937",8,0,3,3
"3939",7,4000,4,1
"3944",12,4000,4,1
"3946",6,1300,3.25,1
"3949",8,1200,4,1
"3952",4,0,3,8
"3955",10,5000,4,1
"3957",3,0,4,7
"3962",11,0,4,6
"3963",8,500,3,1
"3964",4,0,2.5,7
"3973",4,0,4,8
"3974",4,1000,1.75,2
"3978",5,4000,3,1
"3979",4,2500,2.25,1
"3983",5,1000,2.5,2
"3987",5,1600,4,1
"3990",3,0,1.5,8
"3992",7,0,2,3
"3993",4,1600,3,1
"3994",10,1200,4,2
"3998",4,600,4,1
"3999",3,0,2,7
"4001",4,0,1.5,8
"4004",9,1300,3.25,1
"4007",6,0,2,8
"4008",3,0,1.75,4
"4015",2,0,3,7
"4017",11,2900,4,1
"4018",7,1032,2.75,1
"4019",4,0,2.5,3
"4026",3,240,2.5,2
"4027",7,4500,4,1
"4029",11,1500,3,1
"4041",3,0,1.75,5
"4045",10,2400,4,1
"4048",8,4000,4,1
"4050",9,900,2.25,1
"4051",3,0,2.5,3
"4052",10,6916,4,2
"4053",3,0,1.5,3
"4063",7,800,2,1
"4067",3,0,4,3
"4068",8,750,2,1
"4069",4,2500,2.5,2
"4071",9,1500,3,1
"4077",9,0,4,6
"4078",7,3000,4,1
"4080",7,3000,4,1
"4081",5,0,1.75,6
"4086",3,680,1.75,1
"4088",9,0,3,8
"4090",4,500,3,1
"4093",4,700,4,1
"4095",4,786,2.75,1
"4097",3,500,3,1
"4099",4,1000,1.5,1
"4100",3,0,2,8
"4101",12,3000,4,1
"4105",4,1500,2.75,1
"4110",4,1000,2.5,1
"4116",8,1050,2.75,1
"4120",10,0,2,3
"4123",7,2700,3,1
"4125",6,0,2,8
"4128",9,0,4,7
"4131",11,800,2,2
"4134",4,1500,3,1
"4138",12,2000,2.25,2
"4139",4,200,3.25,2
"4140",7,1750,4,1
"4146",4,0,2,8
"4147",4,1200,1.25,2
"4151",2,800,2,1
"4157",9,2000,3,1
"4158",7,0,2.75,7
"4159",5,4000,4,1
"4160",3,1300,2,1
"4163",7,1000,4,1
"4166",11,1600,3,1
"4167",3,0,2,8
"4168",4,0,1.5,8
"4169",2,0,2.5,8
"4170",9,0,3,8
"4171",4,250,2,2
"4175",2,1000,4,1
"4177",8,0,2.75,5
"4179",2,0,2,6
"4180",10,8000,4,1
"4181",9,0,4,8
"4183",4,3200,4,1
"4184",2,0,1.5,8
"4185",3,1700,2.75,1
"4187",4,0,2.75,8
"4188",4,5000,3,1
"4191",7,2400,4,1
"4193",3,0,2.75,8
"4197",2,0,1,7
"4201",10,0,3,8
"4207",2,0,1,6
"4209",8,2100,4,2
"4210",10,0,4,4
"4211",2,0,2,8
"4214",8,0,3.5,8
"4222",2,0,2.5,3
"4224",2,0,2,7
"4227",6,3800,4,1
"4229",9,3300,4,1
"4232",3,0,3,8
"4233",3,900,2.5,1
"4234",2,2000,2.5,1
"4238",10,0,3.5,3
"4241",11,3300,4,1
"4243",1,0,1.75,4
"4247",2,600,2.25,2
"4248",2,0,3,8
"4256",2,0,1.5,8
"4257",4,2100,2.75,1
"4258",8,2000,3,1
"4259",3,700,1.5,2
"4260",8,1600,2.5,1
"4261",4,1400,2,2
"4262",2,0,1.25,8
"4263",1,0,2,4
"4264",7,2800,3,1
"4269",2,0,1,7
"4272",4,800,2,1
"4273",4,4000,3,1
"4274",2,0,1.5,7
"4281",4,2000,4,1
"4282",2,0,2,7
"4283",4,850,2.5,1
"4284",2,0,2,7
"4289",2,0,1.25,4
"4292",4,2000,1.75,1
"4295",4,2000,3,1
"4298",3,0,3,4
"4299",7,3500,3.5,1
"4300",4,2000,4,1
"4302",9,1900,4,1
"4305",2,0,1.5,8
"4306",4,3300,3.5,1
"4308",3,1500,2.5,1
"4314",2,0,1,4
"4317",2,0,1.5,4
"4318",2,0,1,7
"4320",4,600,2.75,2
"4323",3,0,2,3
"4324",4,1400,3,1
"4325",2,0,1,7
"4326",3,0,3,4
"4327",2,0,1,8
"4329",2,0,1,7
"4334",4,0,3,4
"4340",2,0,2,7
"4341",4,1500,2,1
"4343",9,720,2.75,1
"4345",2,0,1,7
"4347",6,0,3,5
"4350",2,0,1,7
"4352",3,0,1,4
"4354",2,0,1.75,4
"4356",2,800,1.5,1
"4365",2,575,2.25,1
"4368",2,600,1.5,2
"4370",2,2500,2,1
"4371",9,0,2,7
"4373",1,0,2,8
"4374",3,0,2.25,8
"4377",10,0,2.5,8
"4378",4,1100,2,2
"4380",2,0,2.5,8
"4381",9,0,3,7
"4387",3,902,2.5,1
"4388",2,0,1.75,8
"4391",2,0,4,8
"4393",4,1300,4,1
"4394",2,0,1.25,8
"4395",3,0,2,7
"4400",3,7000,3,1
"4401",2,0,1,7
"4404",2,0,1.5,7
"4405",2,0,2,8
"4406",1,0,1.5,8
"4407",4,300,2,2
"4409",1,0,1,8
"4411",2,1100,2.5,1
"4416",2,0,1,8
"4418",3,280,2,2
"4420",2,0,2,7
"4425",4,800,4,1
"4426",2,1000,2,2
"4427",2,1000,2,2
"4429",10,5000,4,1
"4431",2,1500,2.25,1
"4432",4,440,1.5,2
"4433",2,0,1.5,8
"4436",1,0,1.5,8
"4441",2,0,1,6
"4442",2,500,2,2
"4446",2,2000,3,1
"4450",4,0,2,8
"4452",8,0,3,3
"4453",10,7000,3.5,1
"4456",2,0,2,8
"4459",3,3500,3,1
"4461",2,0,2.25,8
"4465",9,2500,3,2
"4467",4,0,3,8
"4468",2,0,2,3
"4470",4,0,2.5,8
"4471",4,0,2.75,8
"4474",4,100,1.75,2
"4477",2,0,1,7
"4481",2,0,1,6
"4483",4,0,3,6
"4484",2,0,1,7
"4490",2,1200,2.25,1
"4491",2,640,2,1
"4492",2,0,1,7
"4493",2,0,1,7
"4495",8,0,3,3
"4496",2,0,1,4
"4498",4,8000,2,1
"4499",2,0,2,7
"4500",2,0,1.5,7
"4503",2,0,1,7
"4504",2,600,1.5,1
"4505",9,2700,4,1
"4507",9,6000,2,1
"4511",4,2600,3.25,1
"4517",2,0,2.5,8
"4519",2,0,2,8
"4520",5,0,2.75,4
"4521",2,0,1.25,4
"4522",9,3000,4,1
"4523",4,1400,4,1
"4527",4,1300,2.5,2
"4530",9,2000,3,1
"4532",4,650,3.5,2
"4537",2,0,2,3
"4542",2,0,1.5,8
"4545",2,0,2,8
"4547",2,1500,2,1
"4551",2,0,1,6
"4554",2,1300,1.75,2
"4555",3,0,2.75,8
"4556",2,0,1.25,8
"4558",2,1800,1.75,1
"4559",2,0,1,8
"4560",4,5000,3,1
"4571",2,0,2,8
"4578",3,1000,3,1
"4579",2,0,1.75,8
"4581",4,650,3.5,2
"4585",9,2000,2.5,1
"4596",2,0,2,8
"4598",9,0,2,5
"4599",10,900,3,1
"4601",3,2500,2,1
"4607",2,400,1.25,1
"4608",8,3000,4,1
"4610",4,4200,2.5,1
"4611",10,1600,4,1
"4613",9,2500,3,1
"4614",2,192,1,2
"4617",1,0,1,4
"4618",2,0,2,7
"4620",6,0,1,8
"4621",9,5000,3,2
"4623",7,1000,3.5,1
"4627",3,1200,4,1
"4629",2,0,1,7
"4631",8,0,2,7
"4634",4,0,2,4
"4636",4,4000,3.5,1
"4643",10,2250,4,2
"4644",3,0,2,4
"4653",2,0,1,6
"4656",2,0,2,8
"4659",2,0,1,8
"4663",8,4200,4,1
"4665",10,6000,4,1
"4666",2,1100,1.25,1
"4667",5,4500,3.25,1
"4669",10,1000,3,2
"4673",6,0,1,8
"4676",3,0,2,7
"4678",2,0,1.5,3
"4683",2,0,1,8
"4685",9,0,4,6
"4688",8,1300,4,1
"4689",6,0,3,8
"4692",4,1800,2,1
"4694",10,0,3,3
"4700",2,0,1.5,7
"4702",9,4500,3,1
"4704",2,0,1.25,8
"4707",2,0,2,4
"4708",2,0,1.5,7
"4710",9,0,2,4
"4711",2,0,2,7
"4714",2,0,1.5,8
"4716",2,700,1,2
"4717",2,0,1,7
"4718",10,2000,3.75,1
"4720",2,0,2,8
"4721",4,3800,3,1
"4722",9,3000,3,1
"4723",3,1400,2.5,1
"4726",2,0,1.5,8
"4727",2,400,1.5,2
"4728",4,0,2.25,7
"4729",3,0,2,8
"4732",2,800,3,1
"4733",2,400,1,2
"4734",2,500,1.5,2
"4735",10,3300,4,1
"4738",6,0,3,8
"4743",4,1200,2,1
"4744",2,1100,2.5,2
"4747",2,1200,1.75,1
"4751",6,1440,3.5,1
"4753",3,0,2.5,6
"4754",4,0,3,8
"4755",5,0,2,8
"4757",4,2400,2.5,1
"4759",3,0,2,8
"4761",10,3500,4,1
"4764",2,0,1.25,8
"4768",9,1300,3,1
"4770",2,900,1.5,1
"4772",4,3000,2.5,1
"4777",4,0,3.75,3
"4780",11,6500,4,1
"4782",2,0,1.75,8
"4785",9,2000,3,1
"4788",4,4500,2.5,1
"4792",4,3000,3.5,1
"4794",2,0,1,8
"4795",2,0,2,8
"4798",10,5500,4,1
"4799",2,0,1.5,7
"4800",1,0,1.5,4
"4804",2,850,2,1
"4809",10,4000,4,2
"4815",3,0,3,8
"4816",7,600,4,2
"4819",2,0,1,6
"4820",2,0,2,8
"4821",2,400,2,2
"4824",9,1600,4,1
"4825",10,800,3.75,1
"4826",2,1750,2,1
"4838",9,5000,4,1
"4849",10,6000,4,1
"4853",2,0,1.5,7
"4858",2,0,2.75,3
"4861",2,0,1.75,3
"4864",2,0,1,8
"4865",4,1000,3,1
"4866",2,0,1,8
"4869",4,2000,2.5,1
"4870",4,0,1.5,8
"4876",10,1000,4,1
"4878",2,0,2,7
"4879",8,0,1.5,7
"4880",3,1200,2.25,1
"4881",4,0,2,7
"4884",10,3000,3,1
"4891",2,0,1.75,7
"4892",7,3000,2.5,1
"4895",9,2200,3.75,1
"4899",3,0,1.5,8
"4900",2,1000,3,1
"4907",2,0,1.5,7
"4910",2,0,1,8
"4911",3,2000,3,1
"4913",10,0,1.5,7
"4914",2,0,1.5,7
"4918",4,4200,3,1
"4922",2,0,1.25,4
"4923",2,0,1,7
"4925",8,2500,4,1
"4926",2,0,1.5,3
"4928",11,3000,2.25,1
"4931",6,2200,4,1
"4933",4,1000,3,2
"4936",1,0,1,7
"4943",9,1600,4,1
"4945",2,0,1.5,7
"4947",2,0,1.5,8
"4948",11,4000,3.25,1
"4950",3,1400,2.5,1
"4952",2,0,1.5,7
